TIPO_ELECCION,ANIO,ID_ESTADO,ID_MUNICIPIO,PARTIDO_CI,CANDIDATO,NOMBRE_FOTO
AYUNTAMIENTO,2018,22,11,CQ,CRHISTIAN ADAN HURTADO,crhistian_hurtado
AYUNTAMIENTO,2018,22,11,QI,ROMULO ARAUJO RAMIREZ,romulo_ramirez
AYUNTAMIENTO,2018,22,6,IND,JUAN ARISTEO GERARDO RAMIREZ VELAZQUEZ,juan_velazquez
AYUNTAMIENTO,2018,22,12,PAN,ROSA HILDA HERNANDEZ RIVERA,rosa_rivera
AYUNTAMIENTO,2018,22,12,PRI,AGNOLI GARCIA ROSALES,agnoli_rosales
AYUNTAMIENTO,2018,22,12,PRD,ROSA HILDA HERNANDEZ RIVERA,rosa_rivera
AYUNTAMIENTO,2018,22,12,MC,ROSA HILDA HERNANDEZ RIVERA,rosa_rivera
AYUNTAMIENTO,2018,22,12,,JUAN CARLOS LINARES AGUILAR,juan_aguilar
AYUNTAMIENTO,2018,22,12,CQ,ELEAZAR MUNGUIA OLVERA,eleazar_olvera
AYUNTAMIENTO,2018,22,12,MORENA-PT-PES,MA. CARMEN AGUILAR URIBE,ma._uribe
AYUNTAMIENTO,2018,22,5,IND,JUAN MANUEL MORENO MAYORGA,juan_mayorga
AYUNTAMIENTO,2018,22,13,PAN,SILVIA LANDAVERDE BOCANEGRA,silvia_bocanegra
AYUNTAMIENTO,2018,22,13,PRI,ISIDRO GARAY PACHECO,isidro_pacheco
AYUNTAMIENTO,2018,22,13,PRD,MARIA ANA OLIVIA AGUAS GUDIÑO,maria_gudiño
AYUNTAMIENTO,2018,22,13,MC,GUSTAVO BUENO VEGA,gustavo_vega
AYUNTAMIENTO,2018,22,13,,RAFAEL HERRERA DURAN,rafael_duran
AYUNTAMIENTO,2018,22,13,PVEM,ISIDRO GARAY PACHECO,isidro_pacheco
AYUNTAMIENTO,2018,22,13,MORENA,CLAUDIO ALEJANDRO SANCHEZ,claudio_sanchez
AYUNTAMIENTO,2018,22,13,CQ,LORENA AGUAS LANDAVERDE,lorena_landaverde
AYUNTAMIENTO,2018,22,4,IND,LEOPOLDO BARCENAS HERNANDEZ,leopoldo_hernandez
AYUNTAMIENTO,2018,22,14,PAN,LUIS BERNARDO NAVA GUERRERO,luis_guerrero
AYUNTAMIENTO,2018,22,14,PRD,LUIS BERNARDO NAVA GUERRERO,luis_guerrero
AYUNTAMIENTO,2018,22,14,MC,LUIS BERNARDO NAVA GUERRERO,luis_guerrero
AYUNTAMIENTO,2018,22,14,,ANTONIO CABRERA PEREZ,antonio_perez
AYUNTAMIENTO,2018,22,14,CQ,IVAN OMAR NIETO ROMAN,ivan_roman
AYUNTAMIENTO,2018,22,14,QI,GUSTAVO CESAR JESUS BUENROSTRO DIAZ,gustavo_diaz
AYUNTAMIENTO,2018,22,14,MORENA-PT-PES,JOSE ADOLFO RIOS GARCIA,jose_garcia
AYUNTAMIENTO,2018,22,14,PRI-PVEM,FRANCISCO PEREZ ROJAS,francisco_rojas
AYUNTAMIENTO,2018,22,14,IND,LUIS GABRIEL OSEJO DOMINGUEZ,luis_dominguez
AYUNTAMIENTO,2018,22,15,PAN,VANESA ALCANTARA RESENDIZ,vanesa_resendiz
AYUNTAMIENTO,2018,22,15,PRI,MARIA TERESA MARTINEZ MARTINEZ,maria_martinez
AYUNTAMIENTO,2018,22,15,PRD,VANESA ALCANTARA RESENDIZ,vanesa_resendiz
AYUNTAMIENTO,2018,22,15,MC,VANESA ALCANTARA RESENDIZ,vanesa_resendiz
AYUNTAMIENTO,2018,22,15,,CLAUDIA VIRIDIANA VEGA RODRIGUEZ,claudia_rodriguez
AYUNTAMIENTO,2018,22,15,CQ,SOCORRO ROSA MATIAS MARTINEZ,socorro_martinez
AYUNTAMIENTO,2018,22,15,MORENA-PT-PES,ALBERTINA ALVAREZ SANCHEZ,albertina_sanchez
AYUNTAMIENTO,2018,22,12,IND,MA. GUADALUPE ALVARADO GONZALEZ,ma._gonzalez
AYUNTAMIENTO,2018,22,16,PAN,GUILLERMO VEGA GUERRERO,guillermo_guerrero
AYUNTAMIENTO,2018,22,16,PRI,GERARDO SANCHEZ VAZQUEZ,gerardo_vazquez
AYUNTAMIENTO,2018,22,16,PRD,AGRIPINO TORRES GOMEZ,agripino_gomez
AYUNTAMIENTO,2018,22,16,MC,PAULINO MORENO AGUILERA,paulino_aguilera
AYUNTAMIENTO,2018,22,16,,ALFREDO PEREZ ISIDRO,alfredo_isidro
